content,score
sy udah update terus tpi kenapa ga ada filter pas videocall nya?,3
Lemot,1
"setelah update wa, sttus tmn2 di wa gk berurutan wkt terbaru, secara acak. bahkan org yg jarang sya hubungi malah sering muncul tapi yg sering aktif sttus y tidak muncul. mohon kembalikan sttus ky dlu lg di wa secara wkt berurutan",3
aplikasi sangat penting untuk kebutuban pribadi dan hari hari,5
Terbaik,5
Bagus,5
Bagusss,5
Bagus,5
Sangat membantu utk kegiatan harian....,4
Lebih mudah menggunakan nya jg lebih gampang,5
Kenapa WhatsApp eror dan tidak resmi,5
Ok,4
baik dalam berkomunikasi,5
SUKA SEKALI,5
bagus bgttt ya,5
Ok,5
Bagus,5
"Jelek, eror mulu",1
Baik,5
update kali ini gooddd bangett !!,5
Bagus,5
Suka,5
terimakasih,5
Mantap,1
Mau update gak bisa,5
sangat,5
Oke,5
"Saya harap di tambahkan fitur saat kita mau mengupload foto atau membuat story wa yang di fiturnya itu bisa menimpa foto ke foto lain, bisa menghapus objek yang kita tidak inginkan, itu saja saran dari saya agar pihak WhatsApp lebih mengembangkan lagi aplikasi nya. 👍",4
Boleh gak request WhatsApp yang versi lite. Karena yang versi yang ini terlalu berat untuk hp ku yang lower-end ini. Aplikasi sering force stop. Thanks,4
Terimakasih,5
ok,5
Donlot susah bngt,5
"tempat ny berkomunikasi,",5
Mohon diaktif kan,5
Sangat memuaskan....👍👍👍,5
Sangat memuaskan,5
Di updeat malah Bug foto profil lol 🗿,1
Mantap. Sangat membantu,5
Bagus,5
gabisa di updat,5
"ga jelas,, buat kirim foto lama nunggu video juga gitu,, stiker ajaa gabisa kekirim,, aneh",1
bagus,5
Kalau bisa wa nya Jangan bisa Kena bug tolol Minimal tuh yg bug Kena ban ke,5
Kena spam terus padahal no baru terus baru ngirim chat sekali langsung kena spam apaapain ini WhatsApp,1
Apalah fitur nya gak ada untuk penyebutan khusus grup,1
makin kesini Makin BURIK kalo upload Story..,4
Semoga tetap aman dan terkendali,5
Bagus sekali layanan ini,5
Keren Banget bisa nelpon bisa ngebet Pokoknya keren banget,5
Bagus si tapi kok ada di blokir trus,4
saya tidak bisa masuk ke akun saya,1
Baik bagus,5
saya ingin dapat tema chat default,5
Bagus,5
Ok,4
Ser lokasi terkini nya buruk. Harus open wa.,1
"Selalu dikatakan spam, pdhal saya bekerja paruh waktu sebagai kurir. Setiap hari bgtu terus. Pdhal zaman skrng ga ada yg namanya org ga menggunakan WhatsApp.",1
Rentan kena blok setiap saatnya,1
Oke,5
Bagus,4
Kenapa gak bisa bikin SW ya Trus ini juga Aplikasi wa nya kaya Aplikasi wa GB gitu di hp saya,5
The best app,5
mantap,5
Assalamualaikum min ini kok wa aku kena blok terus ini masalah nya apa aku ngak ada melakukan pelanggaran apapun.mohon dibantu ya,2
Bagus sekali,5
"saya suka whatsapp,, tapii tolong update theme nya menyeluruh dung,, sedih bgt karna punyaku blm bisa ganti theme,,,,, plisss",3
Kurang baik,3
Sangat membantu,5
Akun saya dipakek Oleh pick ketiga yang tidak bertanggung jawab. Sehingga Akun saya do spam,5
Menurut saya WhatsApp Ini semakin bagus end debes,5
Good,5
👍,5
Washap Sangat Bagus sekali,5
Ok,5
tidak ada chat default di saya,2
"Kurang lebih seminggu, spam tiap hari. Saya tidak diberitahu penyebabnya. Sekarang tidak bisa ferivikasi, sehingga blm bisa digunakan lagi",1
Sangat bagus,5
Tidak bisa di download bosss,1
Sangat bagus,5
Mantap.,5
Halo tim WhatsApp saya sudah menggunakan WhatsApp versi terbaru tetapi akun WhatsApp saya belum muncul fitur efek panggilan video atau fitur baru dari WhatsApp yang video call menggunakan efek atau filter semoga akun saya cepat muncul ...,1
Gak bisa download aplikasi ini,1
turunin mb nya dong dari51 ke32,4
Mantap Nih,5
Ok,4
"Kalau emang bagus ya bagus tapi suka hilang sendiri,ini apps apa sih",5
Ok,5
"Gajelas benget wa sekarang ngecet dikit langsung keband, padahal ga aneh aneh",1
"Apk nya bagus, cuman kenapa ya setiap saya post video/foto sekarang jadi ngeblur gitu, padahal dulu gak gitu.. Mohon perbaikannya supaya video/foto yang dipost distory wa bisa kualitasnya HD",4
Saya sangat suka whatsApp ini berguna banget loh soalnya bisa mengirimkan Vidio ke teman saya jadi,4
Sangat bagus,5
"Akun nya gampang di blokir terus kalau mau di ambil susah banget tolong ya min whatsapp di perbaikin lagi ini aplikasi nya,plis tinjau akun ku kenbali plis min whatsapp🙃,terima kasihv🤩",1
tolong ini WhatsApp kok saya gak bisa nerima pesan ya walaupun udah di update mohon di perbaiki,1
Wa ku sering mati kenapa ya Tolong sambungkan ke wa ku Sanuri,5
Aplikasi sangat bagus,5
Udah di update tapi tidak ada meta AI,5
"WhatsApp perlu memperbaiki sistem deteksi spamnya. Akun saya diblokir tanpa alasan yang jelas, padahal saya hanya menggunakan WhatsApp untuk keperluan jual beli akun game. Saya tidak mengirim spam, tidak menggunakan aplikasi pihak ketiga, dan selalu mengikuti kebijakan WhatsApp. Tolong tinjau ulang sistem ini agar tidak merugikan pengguna yang tidak bersalah.",1
Kok aku langsung kena peringatan spam? Padahal aku cm ngirim 15foto ke temen ku. Sarannya gimana? Masa nunggu peninjauan selama 24 jam? Harus gimana inii???,4
Mengapa akun saya selalu diliblokir...karena spam padahal saya gk spam sama sekali?,5
ini kenap whatsapp kok malah eror kadang di buat chat centang 1 padahal sama2 aktif wanya kok bisa ya aneh banget,3
Nggk bisa ngirim fto atay video,3
Banyak Bug sering terkena spam?,3
Ok,5
Mantab,5
siiiiiiiplah,5
Bisa berkomunikasi dengan orang lain bisa mengechat sendiri kali gabut dan bisa juga menambahkan kontak kalo bosan cuman itu doang bisa membuat grup juga ok segitu aja semoga bermanfaat ya 🎀🎀🎀,5
bagus,5
Ok,5
Baguslah,5
Mohon bantuannya wa saya disalahgunakan oleh orang yang tidak bertanggung jawab. Saya sangat butuh karena banyak data dan arsip penting dalam pekerjaan dinas saya. Mohon pulihkan WhatsApp saya. Saya tdk bisa mengakses WhatsApp saya,1
Knapa tidak bisa di pasang di hp saya selalu elor,5
Bagus,5
Aplikasi ini sangat bagus sekali,5
"beberapa kali terjadi bug saat membuka status bagian hitam menjadi transparant, jadi tidak nyaman dilihat",4
Aplikasi nya bagus,5
Ok,5
wa tolong dong update WA bisa ngirim makanan pasti bnyk yg suka👁👄👁,5
Tolong tambahkan vitur tanya orang pls sama lingkaran buat agar orang nya jawab,5
whsap ini bagus,5
bisa login ke wa tolong dibenerin ya wa,1
Mantap pokoknya,5
Baik,5
Sangat bagus,5
"Tolong dong, masa media foto sama vidio dari galeri HD pas di posting di WA jdi buriq klo bisa ada batas kualitas bkn cma dia opsi aja",2
Bagus,5
IHH GAMAU IH STIKER NYA KO JADI GEDE!!,1
Keren,5
Saya tidak disa bongel wa,3
💪😌👍,5
Saya suka sekali apk ini sagat memabantu kita sehar,5
Bagus,5
Main gem nya seru,5
WASAAP ini setiap aku download pasti beberapa Minggu ada SMS WASAAP ini telah kadaluarsa . Aku suka menggunakan WASAAP ini tapi beberapa Minggu pasti ada kiriman WASAAP ini telah kadaluarsa ada apakah dengan WASAAP ini.???,1
"Sekarang wa susah buaget....bnyk pengaturannya,🤣",1
"Butuh nambah fitur pesan terjadwal, please🙏",4
"Gimana ini whatsapp, saya gaada melakukan spam apapun tetapi di block, tolong dongg",1
Trimah kasih,4
"Terimakasih Administration, karena iklan mengganggu aktivitas says, jadi saya pake kode keamanan",5
"y,ok,lumayan",5
"terlalu banyak bug,dan kenon",1
Good,5
bagus bangettt...,5
Ga bisa apdet status,5
Good Best,5
Good,5
Bagus tp ga bisa dibuka,5
Bgus,4
Bagusss,5
Bgus,5
Sangat efektif untuk mengubungi teman,5
Update lagi biar ada fitur typing indicator,5
Keren,5
Sangat bagus,5
"Tolong lah limit MB untuk up status di whatsapp naikin, jadi limit 20/30 MB",1
Good,5
Good,5
Banyak spam,1
Ok,5
"Bagus banget rek, fiturnya sekarang sudah banyak yg update intinya bgus la bagus ya bagus iya bagus BAGUS EGE ALA SIA.",5
"I've updated but I haven't gotten all the updates yet, I'll give a few stars first, if I get it I'll give a star 😌",2
Baik baikkkkkk banget cihuyyyy,5
suka,4
Bagus,5
Lumayan bagus,5
Udaaa baguss cuma MB nya tolong diturunkan sedikitt,5
Bagus sekali whatsapp,4
Mantap,5
Bagus,5
nomer saya kenapa ga bisa di daftar ya padahal sudah di apk resmi tapi diperingati harus di apk resmi terus tolong dong gmna caranya biar bisa lagi,2
Top,4
hadeh share live gabisa mulu udah reset jaringan berkali kali tetep aja gabisa,4
mantap sukses selalu,5
KOK SERING BUG LEEEE,1
"sanggat bagus,dan berguna",5
Bekerja di kapal,5
Cukup,5
Baik baguss,5
Bagus banget apk nya saya bisa berkomunikasi dengan orang orang tapi kadangan ada org yg ngehack juga lewat apk ini tapi gpp yg penting bisa berkomunikasi.. Makasihhh atas aplikasinyaa ya minn,5
sangat bagus,5
Lemot,5
qplikasi yang sangat berguna dan sangat memudahkan para penggunannya,4
Sangat bagus untuk berkomunikasi kasi,5
Saya kecewa 😭😭😭sekali dengan aplikasi WhatsApp.Selalu saya kena Spam terus padahal saya sudah pakai aplikasi WhatsApp resmi.bisa tidak jangan selalu memberikan Spam pada akun WhatsApp saya.soalnya saya juga udah bosan login terus padahal belum dipakai chat atau telfon sudah kena Spam lagi/Blokir. Mohon ya untuk aplikasi nya diatur ulang untuk kedepannya biar lebih baik lagi.🙏,2
Baik sekali,3
"plis lah bisa ga sabaran dikit???, kalo memo aku penuh jangan langsung ke hapus smua chat gtu gmna kalo ada yang penting coba? sumpah kit ati bangett KECEWA BANGET DAH GUA MMK",1
suka lag gabisa di buka,3
Sangat membatu,5
bagus apk nya aku suka,5
kocag telp mati terus,1
Iya,5
Terimakasih sangat penting,5
👍👍👍👍,5
Ok,5
makin di update makin bagus,5
Kecewa,1
😘😘,5
setelah update wa Fersi yang terbaru hp gua engga bisa masuk ke apk wa,1
Udah bagus banget tapi knp setiap 3 bulan selalu ke riset sendiri dari wanya,4
WhatsApp sangat penting,5
Memang ter baik,5
Bguss,5
Bagus,5
"saya kasi bintang 1 dulu karna skrng wa nya gampang banget kena blokir/spam jdi susah buat di pakai apalagi ketika buat grub langsung kena spam hadehhh,saya mohon ntar update biar ga gampang kena spam saya 1 hari kena spam 4 kali",1
Bagus,5
Aku sangat puas dengan whanmtsapp masseges,5
"HI WHATSAPP! :) To be honest, your application is quite good, but there are still some shortcomings.Why do your applications often error and delete the chats that I have? It's really annoying. Those messages were all important, I really needed them but you guys just lost them. that is unacceptable. I hope you can return those messages to me and improve the quality of this application.",1
Bagus,5
Hapus nya kog bahasa inggris,5
Ok,5
"Bagus versi lama, dulu buat status video ada pilihan HD status lumayan jelas tapi kalau sekarang buat status video tidak ada pilihan HD jadi jelek banget, semoga cepat di perbaiki",1
"Saya ksih star 2 kenapa alesannya simple 1 ilangin itu fitur chat terkunci itu aja,sebab bnyak kali gara"" itu bnyk dibohongin soal percintaan",2
Biar bintang ajh yank bicara 😍,5
"Sorry dari bintang 5 ke bintang 1 karna tiba-tiba WhatsApp log out dan terblokir,yang 1 alasannya tidak menggunakan WhatsApp resmi padahal jelas-jelas pakai WhatsApp resmi terus nunggu 24 jam, selesai itu beberapa menit log out lagi dengan alasan akun spam padahal ga ngapa-ngapain dan WhatsApp cuman buat kerja sekarang gabisa log in lagi 24 jam nunggu beberapa kali seperti ini jujur kecewa,sudah mengirim email namun tidak ada tanggapan,makin kesini WhatsApp makin bobrok tidak ada respon",1
"kg bisa di donlod gj , penyimpanannn gw msi bnya pdhl",1
Sangat membantu,5
Good,4
Good,5
"Kenapa WA saya ter blokir , tanpa kesalahan apapun",5
buka,5
Bagus banget,5
"whatsapp sekarang sngat bgus krna chatnya bisa diubah ke warna yg kita suka, tpi bisa nggak yaa wrna chatx bisa di gradasi pasti bgus bnget",5
whatsapp emang mantap dan bagus.,5
baguss polll,4
"Ini gimana yah? Kok pas mau Kirim Foto, kirim Vidio, Kirim VN Story Wa Ko gabisa sih gimana Si ga jelas bgt de",1
"Sering eror plis buat bikin sw vidio gk bisa,buka vidio kiriman juga gk bisa segala macem",3
Aplikasi ini tidak dapat di update,3
Bagus si,5
Bagus,5
Sangat baik,3
WhatsApp memang bagus good tapi yang bikin saya kesel saya tidak melakukan apapun tidak spam tidak kirim Poto 18+ tapi di blok permanen,4
"Disini ada yg iseng ngirim bug wa,,yass data kehapuss dll saya suda cukup sabar.",4
"Baguss suka banget, Kalian harus download sihh",5
Kak kalo bisa beranda WhatsApp messenger nya bisa di ubah ubah jadi tema yang lain,5
Oke,5
Karna aku tidak dapat meta Ai sangat tidak adil,3
"Bagus, males ngetik gua",5
Okee,5
Kenapa banyak nomor kontak saya yg hilang ?.... jd tidak terhubung lg dengan kawan² saya.,2
Bagus banget perangkat whatsApp,5
Di pakai orang lain tanpa persetujuan,5
Mantap,5
Mantap,5
"Halo admin, kenapa whatsapp sayadi blokir karna alasan spam, saya tidak pernah spam chat malahan nyimak aja tuh kalau mau chat penting doang kalau ga penting ga pernah chat, jadi tolong buka blokir nya soal nya ini penting",1
Manatap,5
Bagus Di mana saja,2
Baik,4
"tolong berikan saya fitur thema whatsapp, saya sudah update tapi belum mendapatkan fitur thema whatsapp",3
Kenapa watsap ku hilang,5
Good,5
Mantap,5
Mantap men,5
"WhatsApp saya kena spamm , gimana cara mengatasi nya",1
Maps selalu eror,3
Mantap,5
Kadang eror Suka gak bisa share lock Mengunduh gamabr kadang gak bisa Mengunggah foto atau video ke status hasilnya burik 1 lagih tamabahin border di foto profil biar aesthetic,4
Ok,5
Sangat bagus,5
Ok,5
bagus,5
"Kenapa ya di Hp saya tiba"" Wa menghilang begitu saja... Tidak ada penyebabnya..... Dan bagaimana cara memulihkannya. Terimakasih",1
"Nmr saya selalu tidak dapat login wa ,saya sudah ganti nmr 10 kali tetap minta wa resmi padahal wa nya sudah resmi tolong di perbaiki lagi, terimakasih",5
muantap pokonya,5
Oke banget ya,4
Kenapa nomer saya kena spam terus ya kalo jam 4 sore,1
𝘽𝙞𝙖𝙨𝙖 𝙨𝙖𝙟𝙖,5
bacot sekali anda,5
Sangat bagus,5
Mantap,5
Makin kesinih makin ribet whatssap Harus Yang Versi Bawan padahal Nyatanya saya sudah download Tpi bacan nya Harus Download whatssap,1
apk ny bagus bnget,5
"jangan update untuk hal-hal yang kurang berguna, seperti saluran dll itu hny buat memo penuh. saran saya sebaiknya untuk saluran wa dibuat terpisah(aplikasi lain) karena hny buat apk wa tambah besar ukurannya dan buang ruang sja",1
bgs sekali lah mantapppp.......,3
Ok,5
Sangat bermanfaat,5
Payah masuk,3
Keren³,5
Alah apalah wa skrg ko malah gajelas kiri. Poto vdio kadang eror apalah,1
Keren,5
Saya kok tidak bisa login,1
Aplikasi setiap hari terblokir tolong solusinya gimana sangat mengganggu padahal tidk melakukan pelanggaran,2
Bagus sekali,5
👍,5
"Maksudmu apa si hei ini bukan game, ini bukan yutup tapi kok aku open apk ada iklan woe",4
Saya sangat suka dengan aplikasi WhatsApp ini,4
Jelek,5
Keren,5
"Update story burem bngt, hp ku yg jelek apa gimana ya?🤣",5
Saya suka dgn aplikasi ini,5
"Saran saya di WhatsApp untuk grup dibuat jabatan selain admin, seperti owner sebagai jabatan tertinggi di grup lalu dibawahnya ada jabatan lain hehe 😉",3
Ruuuuaaarrr biasaa,4
bagus,5
Mantab habis ini,5
♥️♥️,5
Sangat puas,5
saya pake ini di verifikasi trusss,5
Saya sangat suka dengan update WhatsApp yang sekarang,5
Saya baru saja Menganti no tapi langsung tidak dapat masuk karna spam kenapa sudah spam aj kan baru saja saya ganti no,2
"Ak ini sangat bagus tapi ada 1 yang buat aku cemas biasa nya baru sudah di update ni WA udah mau di update lagi terus yah kalo udah di update gak ada vitur baru juga 🙏🏻,,oh iya juga WA ini buah kalo mau di update biasa nya kayakkk ke hapuss WA nya hedeh",5
Bagus banget sii ini,5
Aplikasi tadi..aplikasi ilegal..whastap saya ga bisa masuk,1
"kenapa ya bentar bentar minta di perbaharui,sudah kadaluarsa lah,seperti makanan saja....jadi ga nyaman.",2
Ini bisa berkomunikasi dengan orang,5
Kenapa saat video call gambar di layar seperti bergerak sendiri padahal kamera ponsel posisi diam??,4
"wa gua ngebug mulu astaga, status whatsapp nya yg diliat malah kebalik, pas mencet kontak orang yang mau kita chat malah ke kontak orang lain, pls fix this bug dawg",1
"permisi min, mau nanya kenapa ya teman saya buat sw baru 2/3 menit dari jam 15.31 semisal nya, tapi pas diliat di liat sekitar jam 14.31 atau beda jam, padahal baru di buat, itu ngatasinnya gimana ya min? tolong bantuan nya🙏🏼",3
Bagus banget,5
ga bisa kirim ft,2
Kenapa membuat akun baru susah sekali,1
Kenapa sih kaya gitu gini aku kira bagus ternyata jelek,1
"Walaupun jauh tapi jadi bisa bertemu,, semoga terus bagus aplikasi ny",5
Saya tidak bisa masuk mohon di bantu ... Trimakasih,3
baik,3
Bagus sih aplikasinya cuma sayang kalau aplud story gak bisa panjang,5
"Sumpah ini bagus banget untuk chatan gaada yang bisa ngalahin WhatsApp, aku suka chatan sama kawan aku, makasih yang sudah bikin aplikasi inii👍🏻😘😘",5
"ini knp yh kok hbs diupdate gbisa dibuka kaya mau keriset sumpah , ini gimana yah WhatsApp? tolong segerah diperbaiki lagi , dan juga tolong banget untuk WhatsApp tolong buka wa saya🙏🏻",1
Oke,5
Sanggat meyakitkan,5
Sangat bagus dan sangat membantu Bos pokonya oke,5
🥰🥰🥰🥰,5
Ini bukan akun sya,2
Whatsaap sangat membantu kita semua dalam berinteraksi dan berkomunikasi .,5
bagus,5
"Akun WhatsApp saya secara tiba-tiba di blokir kerena spam, walaupun saya telah mematuhinya ketentuan layanan WhatsApp, mohon tinjau akun saya dan mohon di selesaikan masalah ini Terimakasih 🙏",5
"Hello WhatsApp team. I am a manager at Twitter and I have a complaint about my WhatsApp account where my WhatsApp account has been illegally blocked after I created a group. I have been using the WhatsApp application for a long time already from 2015 and have quite understood the terms of service provided by WhatsApp. Therefore I don't feel that I made a mistake or violation that violates WhatsApp's Terms of Service. So if the WhatsApp team allows my account to be restored and can be used again,",5
Sangat bagus,4
Bismilah bisa ngeter grup,5
Ok,5
Bagus sih tapi knp klo saya mau bikin sw vidio layar nya hijau semua tolong dong,4
Berguna banget whasapp alhamdulilah punya whatsapp jadi bisa chat keluarga 😄😄😄,5
"Kerjaan gw chat cust sampai 50 kontak, awal nya gk bermaslah, eh terblok permanen, beli kartu baru, baru spam 10 kontak, langsung ke blok, emang bermasalah ni apk, gk",1
Hebat,5
"fitur yang sekarang membantu banget , terimakasi WhatsApp atas fitur' yang diberikan",5
"WhatsApp sekarang ga jelas, mengganggu pekerjaan orang lain,gampang ke blokir aneh.",1
sangat tidak membantu sama sekali,1
Mantap,5
Aplikasi WhatsApp saya tidak bisa d buka udh saya download berkali2 ttp tidak bisa d buka itu karena apa iya tidak bisa di buka,1
Saya kasih 1 bintang karena WhatsApp ya terus di spam saya udh ganti nomor tapi tetap aja mohon bantuannya ya ya kasihan loh kalo ada kepentingan sekian dari saya terima kasih 🙏🙏,1
Baik,3
"saya sudah beberapa kali di blok, padahal saya tidak spam, bagaimana ini?, saya sudah ganti no baru, hape baru tapi tetap di blok. padahal saya baru verifikasi loh baru masuk langsung di blok lagi, saya sudah nunggu 24 jam agar setelah saya verifikasi tidak di blok lagi. tetapi mengapa di blok lagi?, belum ada sampai 3 detik saya membuka WhatsApp langsung di blok lagi. dan saya sudah memverifikasi lalu keluar dari WhatsApp nya, tetapi muncul notifikasi ""akun ini sudah tidak terdaftar lagi"".",1
Tiba tiba akun saya di blokir dengan alasan spam... Padahal saya tidak melakukan spammer??,1
Saya sangat suka dengan update-an terbaru ini 😁😁😁😁,5
Memuaskan,5
bagus bgt tpi di aku blom ada fitur filter saat vc,5
buruk,5
Sangat tidak nyaman.kenapa ko story foto di wa tidak bisa padahal semua foto digaleriku sudah saya hapus.kirain penyimpanannya penuh.tapi tetap saja tidak bisa story wa dan juga kirim foto ke kontak yang lain.semenjak 28 februari..mudah mudahan segera membaik,1
saya ga bisa melihat vidio sekali lihat ataupun foto sekali lihat,5
oke,5
Tolong buat kalau bikin story jangan turunin resolusi,2
saya beri 5 bintang,5
aplikasi taekkk,1
WhatsApp nya makin keren ajh 😍 bisa vc pake efek cantik,5
Bagus,5
Unbloking Me pliss,5
Baik,5
"Ini keren tapi..............,..📱",5
Bgus lah bisa buat ngobrol hihihi,5
Wa sangat menyenangkan,5
🥰🥰,5
Mantap,5
Jarang wa tp kena spam tiap Minggu kenapa,5
Oke,5
Kok di punyaku gak ada efek nya,4
Mantap 👍,5
Tidak bisa menginstal wa,1
Ok,5
Oky,5
kenapa selalu kena blokir yah wa saya aneh banget,2
Go visa upgread susah,3
Oh jelas,5
Kok nggak bisa di bukak,1
Please repair the apps when someone posting any videos is always blurred and bad videos upload in story .. even using HD video still looks like blurred..,1
Muhtarom,5
Nice 🗿,5
Kalau ada update terbaru tolong donk gw juga dapat update nya,4
Terimakasih semoga lebih baik dan lebih mudah utk download aplikasi,5
"Saya ingin wa saye kmbali lg ke sya,karna kmrin wa sye hilang tiba tiba ga tau syp yg pke wa sya",5
Loading bro ah,5
"tolong dong ini gimana apa yg salah kok di yg lain udah pada update di aku belum jugaa, mana udah lama bgtt lagi",1
Baik,2
Bagus jdi BISAKOMUNIKASI,5
Aplikasinya bagus,5
Oi kenapa nomor aku gx bisa didaftarkan,1
Luar biasa,5
Saya sebagai pengguna WhatsApp sangat kecewa di karena saya tidak berbuat apa apa tiba tiba akun saya kena blokir Tampa alasan yang jelas mohon untuk admin WhatsApp untuk di tindak lanjutin karena saya masih ada nomer nomer yang penting untuk pekerjaan saya dimohon untuk cepat di tindak agar tidak ada ke kecewaan dari pengguna yang lain,1
Bagus skli,1
knp wa saya sering kali terkena spam cet padahal saya gak pernah melakukan spam cet SMA siapa pun tru akum aku sering kli kena spam besok pulih trs berapah detik langsung kena spam itu knp yah tolong di kasih tau,1
Belum ada fitur music nya,5
"Bolak balekk kenakk spammm Lucuuu WAnyaa! Memuakkann! Hebohkan gila spam whatsapp aku, padahal juga udah aku ikuti layanan whatsapp Sumpahh gak jelas.",2
"wa sekarang lebih sering bug, setiap ada temen saya yang ngirim vd 1× lihat gabisa di buka, terus juga waktu mau ngirim pesan ga kekirim kirim, padahal jaringan lagi bagus, semoga aja kedepannya bisa diperbaiki",4
Bagus,5
Kenapa wa saya belum bisa pake efek dan filter saat vidio call?,4
Kok aku GK ada tema default nya ya padahal punya temen temen ku ada,4
Bantu saya mendapatkan WhatsApp saya yang di curi,5
bagus,5
Mantaf,5
Good,5
min masa ya harus bagus hp nya baru bisa Tag grub,4
tidak bisa di download gagal terus,1
Baguss sekali WhatsApp nya,5
Saya di tidak bisa melihat status orang lain atau keluarga saya sendiri dan tidak bisa buat menelpon orang atau video coll apa kah eror,5
CAKEPP BGTT,5
bagus,5
Good,4
Sangat the best,5
"Bagus bangett.kalau bisa,update berikutnya bisa siaran langsung di saluran wa😊",5
Ok lah,1
"Setelah melakukan pencadangan tetapi riwayat chat ternyata tidak pulih. Jelek bgt sekarang WhatsApp Jangan cuma memperbarui fitur aja dong, perhatikan juga data pengguna.",2
"WhatsApp makin update makin bagus, banyak tambahan fitur yang ga di perkirakan bakal ada. Banyak fitur² baru juga yang berguna. Namun, terkadang semakin banyak update, semakin banyak bug, selain itu juga semakin berat penyimpanan di hp.",5
Sangat mendukung,5
ko di aku gaada warna temannya sieeeehhhhhh,1
"Saya sangat kecewa kepada pihak watsap karena selalu sepam akun saya padahal saya tidak pernah mlakuakan kesalahan apa2,dan ini terjadi berkali2 dan sangat mengganggu saya selaku pengguna watsapp",5
Ga dapet ai gw,1
saya sudah update tapi masih gak ada meta Al,3
bagus banget tapi gaada tema chat Deafullt,4
Resmi,5
"knp skarang ada bug nya sih? pls perbaiki, aku punya saluran 4 pesannya gabisa terkirim smua, ngatasinnya gimana kalo uda gitu",3
mantaap,5
"ga jelas banget suer, udah saya update ga bisa masuk! rating 1",1
BAGUS,5
Sy senang menggunakan WhatsApp,5
WhatsApp keren. Lumayan.,4
Is good,5
Mantap,5
Pengalam ku saya seneng banget... Tp kelemahan nya WA ku di usik orang jadi aku gk ngasih rating.. Banyak uangku yang terambil orang lain... No WA ku saja dibajak oleh pesuruhan orang yang akhirnya berujung ditolong oleh siber masyarakat .. Dan saya menjadi bengong akan kejadian itu,1
Sering banned tanpa alasan yang jelas!,1
Good like,4
Oke,5
Bagus dan membantu,5
Seru bisa berbisnis,5
Mantap,5
Aplikasi nya bagus buat ngechat temen atau orang tua ketika ada kepentingan,5
Baik,5
Baik,1
Good,3
Lumayan lah buat saya,5
Okk juga,5
"Aneh wa sekarang, orang GK ngpa""in di ban mulu, gakjelas bnget",1
sangat baguuus,5
Bagus,5
Enak untuk berinteraksi,5
whatsapp sekarang makin jelem. nomor saya berkali kali di blokir. dengan alasan spam. padahal saya tidak melakukan spam. ataupun melanggar ketentuan dan kebijakan whatsapp. sangat merepotkan,1
Ok,1
mantebss,5
Wa sw global kpn muncul nya?🙂,5
Sangat baik,5
"wa tolong na wa ku ga ada tema chat nya padahal aku mau ganti jadi warna pink punya apk yang adil dong masa temen ku bisa aku ga bisa, padahal aku udah update loh, ga adil nanti aku kasi bintang 1 loh soalnya punya apk ga adil, ini bulan puasa loh min jangan bikin aku naik darah aku juga pengen wa nya kiyowoo kiyowoo trus kok aku ga ada chat ai Tolong na benerin ku kasi bintang 1 ya",1
Buat selalu yang terbaik,5
kenapa filter g muncul pas vc,4
Ok,5
bagus,5
bintang,1
bagus,5
ga bisa kirim saluran bugg,1
nice,5
eror,2
Sngat baguss,5
Kenapa sekarang WhatsApp gampang ngeblokir akun orang. Padahal sudah mengikuti ketentuan. Jadi tolong jangan apa apa diblokir,1
"aplikasi whatsapp nya sangat bagus, saya suka👍",5
Good,5
makasih juga untuk WhatsApp dengan ini bisa lebih mudah untuk mengobrol secara langsung tanpa ketemuan,5
Terimakasih 💐💐💐 WhatsApp messenger kau sangat membantu dalam berkomunikasi dengan siapa saja. Semoga kau jadi teman setiaku teman untuk curhatku teman untuk bersilaturahmi dengan melalui WhatsApp messenger. ⭐⭐⭐⭐⭐,5
Baguss,5
Wa saya ngk bisa di verevikasi,5
Kenapa si wa skrng klo manggil panggilan gagal mlu,1
"Sering error, logout sendiri",2
Alhamdulillah bermanfaat WAnya,5
Bagus,5
menakjubkan,5
whatsapp ini emang sangat bagus bisa ngimong penting dengan orang lain dan bisa vidio call telponan biasa chat chat an bisa semua bisa aku sangat senang dengan whatsapp ini dia sangat berguna menurut ku ☺☺😁,5
"Bagus,tpi tingkat lgi ya",5
Bagus,5
👍🏻👍🏻👍🏻👍🏻,5
Baguss membatu coooo,5
Oke,5
Suka,5
Bagus,5
Aplikasi wa saya tidak ada meta ai nya,5
Karena harus mengubah masa aktif watsapp setiap tahun,1
"Setiap mau kirim pesan ke kontak yang lain pasti ada gangguan, gangguan nya itu seperti ada tanda jam terus menerus",1
Baguss sekali,5
Bagus,5
okesih,5
Ok,5
"kalo di buat vc,trus keluar buka rom cht/apkikas lain ga bisa nimbul layar vc ny",3
"aku udh up kok ga ada fitur terbaru di wa ya, contoh nya dapat pakai filter di vc",4
wa sangat menarik sekali,5
tidak bisa di download ya,5
Sangat bagus untuk berkomunikasi dengan orang lain yang berpergian jauh atau ketempat wisata lainya,5
Sangat baik,5
Aplikasi ini sangat seru aku bisa bertelfonan sama teman yang jauh,5
tg sw ke grup selalu loding terus,5
Bagis,5
"buat tlp lancar,vc juga lancar,tapi blm bisa perogram whatsapp beta atau ganti tema chat deafalut",4
